Date (America/New_York),Practice set,Track,Question,Topic,Result
2026-08-15,security-domain1,Security+,14,Risk avoidance,Correct
2026-08-15,security-domain1,Security+,15,Privileged accounts,Correct
2026-08-15,security-domain1,Security+,16,Dual approval,Correct
2026-08-15,security-domain1,Security+,17,Non-repudiation,Correct
2026-08-15,security-domain1,Security+,18,Digital signature integrity,Correct
2026-08-15,security-domain1,Security+,19,Zero Trust,Correct
2026-08-15,security-domain1,Security+,20,Honeypot,Correct
2026-09-06,fundamentals-2026-09-06,Security+,1,Least privilege,Correct
2026-09-06,fundamentals-2026-09-06,Security+,2,On-path attack,Correct
2026-09-06,fundamentals-2026-09-06,Security+,3,Replay attack,Incorrect
2026-09-06,fundamentals-2026-09-06,Security+,4,Credential stuffing,Correct
2026-09-06,fundamentals-2026-09-06,Security+,5,Password spraying,Correct
2026-09-06,fundamentals-2026-09-06,Security+,6,Encryption,Correct
2026-09-06,fundamentals-2026-09-06,Security+,7,Hash value,Incorrect
2026-09-06,fundamentals-2026-09-06,Security+,8,MFA,Correct
2026-09-06,fundamentals-2026-09-06,Security+,9,Non-repudiation,Correct
2026-09-06,fundamentals-2026-09-06,Security+,10,Hashing,Incorrect
2026-09-06,threats-2026-09-06,Security+,1,Business email compromise,Correct
2026-09-06,threats-2026-09-06,Security+,2,Vishing,Correct
2026-09-06,threats-2026-09-06,Security+,3,Baiting,Correct
2026-09-06,threats-2026-09-06,Security+,4,Pretexting,Incorrect
2026-09-06,threats-2026-09-06,Security+,5,Typosquatting,Incorrect
2026-09-06,threats-2026-09-06,Security+,6,Smishing,Correct
2026-09-06,threats-2026-09-06,Security+,7,Pharming,Correct
2026-09-06,threats-2026-09-06,Security+,8,Tailgating,Correct
2026-09-06,threats-2026-09-06,Security+,9,Spear phishing,Correct
2026-09-06,threats-2026-09-06,Security+,10,Impersonation,Correct
2026-09-06,vulnerabilities-2026-09-06,Security+,1,SQL injection,Correct
2026-09-06,vulnerabilities-2026-09-06,Security+,2,XSS,Correct
2026-09-06,vulnerabilities-2026-09-06,Security+,3,Directory traversal,Correct
2026-09-06,vulnerabilities-2026-09-06,Security+,4,Buffer overflow,Correct
2026-09-06,vulnerabilities-2026-09-06,Security+,5,Race condition,Correct
2026-09-06,vulnerabilities-2026-09-06,Security+,6,Input validation,Correct
2026-09-06,vulnerabilities-2026-09-06,Security+,7,Zero-day vulnerability,Correct
2026-09-06,vulnerabilities-2026-09-06,Security+,8,Misconfiguration,Correct
2026-09-06,vulnerabilities-2026-09-06,Security+,9,Unpatched software,Correct
2026-09-06,vulnerabilities-2026-09-06,Security+,10,Broken access control,Correct
2026-09-06,controls-2026-09-06,Security+,1,Operational controls,Incorrect
2026-09-06,controls-2026-09-06,Security+,2,Physical controls,Correct
2026-09-06,controls-2026-09-06,Security+,3,Deterrent controls,Incorrect
2026-09-06,controls-2026-09-06,Security+,4,Preventive controls,Correct
2026-09-06,controls-2026-09-06,Security+,5,Detective controls,Correct
2026-09-06,controls-2026-09-06,Security+,6,Corrective controls,Correct
2026-09-06,controls-2026-09-06,Security+,7,Compensating controls,Correct
2026-09-06,controls-2026-09-06,Security+,8,Directive controls,Correct
2026-09-06,controls-2026-09-06,Security+,9,Defense in depth,Correct
2026-09-06,controls-2026-09-06,Security+,10,Managerial controls,Correct
2026-09-09,review-2026-09-09,Security+,1,MFA blocks stolen password,Correct
2026-09-09,review-2026-09-09,Security+,2,Spear phishing,Correct
2026-09-09,review-2026-09-09,Security+,3,Brute force vs password spraying,Incorrect
2026-09-09,review-2026-09-09,Security+,4,Fingerprint plus PIN,Correct
2026-09-09,review-2026-09-09,Security+,5,Vishing,Correct
